,trace,Adduser,Hydra_FTP,Hydra_SSH,Java_Meterpreter,Meterpreter,Web_Shell
0,6 6 63 6 42 120 6 195 120 6 6 114 114 1 1 252 252 252 1 1 1 1 1 1 1 1 1 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 1 1 252 1 1 1 1 1 1 1 1 1 1 1 1 1 1 252 1 1 1 1 1 1 252 252 252 252 252 252 252 252 252 252 252 1 1 1 1 1 1 1 1 1 1 252 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 252 1 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 1 1 1 1 1 1 1 1 1 1 1 252 252 1 1 1 1 1 1 1 1 1 1 1 1 1 1 252 252 252 1 252 1 1 1 1 252 1 1 1 1 1 1 1 1 1 252 252 252 252 252 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 1 1 1 1 1 252 252 252 1 1 1 1 1 1 1 1 1 252 1 1 1 1 1 1 1 1 1 1 252 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 252 252 252 252 252 1 1 252 1 252 252 252 252 252 1 1 252 252 252 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 252 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 252 1 1 252 1 1 252 1 1 252 252 1 1 1 1 1 1 1 1 1 252 1 1 1 1 1 1 252 252 252 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 252 1 1 1 1 1 252 1 1 1 1 1 1 1 252 1 1 1 1 1 1 252 252 1 1 1 1 1 252 252 252 252 1 1 1 1 1 1 1 1 1 1 1 1 1 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 1 252 252 252 252 252 252 252 252 1 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 1 252 252 1 252 252 1 1 252 252 252 1 1 252 252 252 252 1 1 1 1 1 1 1 1 252 252 252 252 252 252 252 1 252 252 252 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 1 252 252 1 252 252 252 252 252 252 252 252 252 252 252 252 252 252 1 1 1 1 1 1 1 1 1 1 1 1 252 1 1 1 1 252 252 252 252 252 252 252 1 252 1 1 252 1 1 252 1 252 252 252 252 252 252 252 252 252 252 1 252 1 1 252 1 252 252 252 1 252 252 252 1 1 252 252 252 252 252 252 252 252 252 252 252 252 252 252 1 1 252,0,0,0,0,0,0
1,54 175 120 175 175 3 175 175 120 175 120 175 120 175 175 120 175 3 3 3 175 120 175 175 175 7 3 3 175 120 175 7 175 7 119 174 54 3 3 175 175 3 120 175 175 120 175 120 120 175 175 54 140 3 175 120 175 175 175 175 175 174 7 175 7 119 3 3 175 3 175 175 120 175 7 175 3 175 120 175 175 54 7 174 3 175 120 7 175 175 120 175 175 3 175 120 175 3 3 120 175 120 175 175 7 54 175 120 175 7 175 7 119 174 54 3 120 175 175 120 54 3 120 175 175 54 140 175 175 174 54 175 120 175 175 54 140,0,0,0,0,0,0
2,6 11 45 33 192 33 5 197 192 6 33 5 3 197 192 192 6 33 5 3 197 192 192 6 33 5 3 197 192 192 192 6 33 5 3 197 192 192 6 33 5 3 197 192 192 192 6 33 5 3 197 192 192 6 33 5 3 197 192 192 192 6 192 192 243 125 125 125 125 125 125 125 125 125 91 258 311 240 240 174 174 175 191 122 268 45 45 5 197 192 3 3 6 91 5 197 192 3 3 6 91 201 54 195 196 196 38 6 6 6,0,0,0,0,0,0
3,7 174 174 5 197 197 6 13 195 4 4 118 6 91 38 5 3 194 118 6 91 38 5 118 6 5 118 6 221 4 13 195 118 6 91 38 118 6 5 4 118 6 91 38 118 120 7 174 174 5 197 197 6 13 195 4 4 4 194 118 6 91 38 5 118 6 5 221 221 197 192 4 4 140 5 6 118 6 221 4 195 118 6 91 38 118 118 6 91 38 118 6 4 120 174 7 174 174 5 197 118 6 91 38 118 6 5 221 4 5 118 6 91 38 118 6 5 4 118 6 91 38 5 118 6 5 4 120 174 7 174 174 5 197 197 6 13 195 4 4 118 38 118 6 5 4 4 13 195 4 118 6 91 38 5 118 6 5 4 120 174 174 174 174 174 174 174 174 221 221 221 221 221 221 221 221 221 221 221 221 221 221 221 221 221 221 221 221 221 221 221 221 221 221 221 221 221 221 221 221 221 221 221 221 66 54 6 63 63 63 6 6 12 54 221 221 3 221 11 45 33 192 33 5 197 192 6 33 5 3 197 192 192 6 33 5 3 197 192 192 192 6 33 5 3 197 192 192 192 6 192 243 125 125 125 125 125 91 268 45 45 5 197 192 3 3 6 91 5 197 192 192 6 60 5 221 220 220 6 5 197 192 3 3 6 91 5 5 197 192 3 3 6 91 5 5 5 5 221 221 199 201 33 5 221 221 221 5 197 192 3 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 91 6 5 220 220 6 5 221 221 197 192 4 4 140 5 197 192 3 3 6 91 5 221 221 221 195 221 5 3 3 6 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 5 197 192 197 140 221 221 13 5 197 197 192 3 140 3 6 91 4 5 221 221 197 192 3 3 4 13 195 4 4 5 13 195 4 4 4 194 118 6 91 38 5 45 118 45 6 5 221 221 197 192 4 4 140 13 4 194 118 6 91 38 118 6 5 221 118 6 91 38 5 118 6 5 221 4 4 4 4 4 4 4 4 4 38 10 10 10 118 6 6 91 10 221,0,0,0,0,0,0
4,11 45 33 192 33 5 197 192 6 33 5 3 197 192 192 192 6 33 5 3 197 192 192 6 33 5 3 197 192 192 192 6 33 5 3 197 192 125 192 6 33 5 3 197 192 192 192 6 33 5 3 197 192 192 6 33 5 3 197 192 192 6 33 5 3 197 192 192 192 192 6 192 243 125 125 125 125 125 125 125 125 125 125 91 258 311 240 240 174 174 175 191 122 54 45 45 192 5 197 192 3 6 91 197 197 197 197 85 85 195 195 195 195 195 195 195 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 195 195 195 5 5 5 197 5 197 192 3 197 45 3 3 3 6 91 195 5 5 5 197 5 197 192 3 197 3 3 3 6 91 192 195 5 5 5 197 5 197 192 3 197 3 3 3 6 91 195 5 5 5 197 5 197 192 3 197 3 6 91 6 195 5 5 5 197 5 197 192 3 197 3 45 6 91 6 195 6 6 6 195 5 5 5 6 6 6 201 195 3 6 91 6 6 6 6 5 197 197 192 3 3 3 45 5 197 197 192 3 3 3 3 3 3 3 3 3 3 6 91 195 195 195 195 5 221 220 220 6 195 5 220 220 6 3 3 195 3 6 195 195 5 6 6 5 5 195 195 6 3 197 6 91 6 195 6 195 6 3 3 6 91 195 5 197 54 197 192 140 3 140 3 192 3 3 192 3 3 91 6 91 45 195 195 195 5 5 5 5 195 5 5 5 197 5 197 192 3 197 3 3 3 6 91 195 5 5 5 5 195 5 5 5 197 5 197 192 3 197 3 6 91 6 195 5 5 5 5 195 5 5 5 197 5 197 192 3 197 3 3 3 6 91 195 5 5 5 5 195 5 5 5 197 5 197 192 3 197 3 6 91 6 195 5 5 5 5 195 5 5 5 197 5 197 192 3 197 3 3 3 6 91 195 5 5 5 5 195 5 5 5 197 5 197 192 3 197 3 6 91 6 195 5 5 5 5 195 5 5 5 5 195 5 5 5 5 195 5 5 5 5 195 5 197 240 5 3 197 192 192 6 125 6 6 6 6 195 5 5 5 5 195 5 5 5 197 5 197 192 3 197 3 3 3 6 91 195 5 5 5 5 195 5 5 5 197 5 197 192 3 197 3 3 3 6 91 195 5 5 5 5 195 5 5 5 197 5 197 192 197 91 3 6 91 192 6 6 195 5 6 91 3 6 6 5 5 6 6 195 6 195 192 45 6 91 195 5 5 195 5 6 191 3 197 3 3 6 91 6 195 5 5 5 5 195 5 5 5 5 195 5 5 5 5 195 5 5 5 5 195 5 5 5 5 195 5 5 5 5 195 5 5 5 5 195 5 5 5 5 195 5 5 5 5 195 5 5 5 5 195 5 5 5 5 195 5 5 5 5 195 5 5 5 5 195 5 5 5 5 195 5 5 5 5 195 195 195 5 5 5 197 5 197 192 3 197 3 6 91 33 33 6 195 195 195 195 195 195 195 195 60 5 220 220 6 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 7 174,0,0,0,0,0,0
5,45 33 5 192 6 33 192 33 3 192 125 125 125 125 125 125 45 192 197 197 197 197 85 85 195 195 174 174 174 174 6 91 192 195 5 192 6 91 45 6 5 192 195 6 5 3 3 6 3 6 6 6 6 195 5 197 197 192 3 3 3 3 45 5 197 197 192 3 3 3 3 3 3 3 3 3 3 6 91 195 195 195 195 5 221 220 220 6 195 5 220 220 6 5 197 197 192 197 197 195 195 195 195 195 195 195 3 5 6 91 5 195 195 91 6 91 6 195 6 6 54 197 3 192 3 3 192 3 91 6 91 195 195 195 6 195 5 6 5 3 6 91 195 6 6 6 195 5 5 5 6 91 3 6 195 5 6 91 5 6 5 5 6 3 6 6 195 195 195 3 45 6 91 195 5 5 5 5 5 6 191 6 195 195 60 5 195 195 195 195 195 195 195 195 83 120 7,0,0,0,0,0,0
6,6 11 33 5 6 6 197 5 192 125 125 125 125 258 192 197 197 197 197 85 85 174 174 174 174 195 5 3 195 6 6 5 45 6 195 6 6 6 6 195 5 6 91 197 6 5 195 6 91 6 6 6 6 195 6 6 201 199 6 85 192 6 3 91 5 6 192 6 6 45 5 197 197 192 3 3 3 3 3 3 3 3 3 3 6 91 195 195 220 195 195 91 195 3 5 195 195 195 6 6 6 54 3 3 192 3 3 192 3 3 91 6 91 45 195 195 195 5 5 5 5 5 195 3 6 195 5 91 195 6 195 5 3 6 91 195 6 6 6 6 195 91 6 6 195 5 6 91 6 6 5 195 195 6 3 6 91 5 195 5 45 6 91 195 5 5 6 6 195 5 6 195 5 33 195 60 5 195 195 195 195 195 195 195 195 195 45 45 45 5 197 197 4 6 3 5 197 197 5 197 197 192 4 4 5 6 5 197 4 4 91 6 5 197 197 192 4 4 4 140 4 6 91 3 5 4 5 197 4 5 91 3 5 4 6 5 197 197 5 192 4 6 5 197 197 192 4 4 140 4 6 5 4 45 45 45 45 5 197 197 192 4 4 4 4 4 4 4 4 4 4 4 4 140 4 6 91 5 197 197 6 5 197 197 192 4 4 4 5 3 5 4 197 5 197 5 4 3 5 197 197 192 4 4 140 6 5 140 5 5 4 6 5 197 197 192 4 4 4 140 5 197 4 3 5 4 5 5 5 197 197 192 4 3 5 4 140 91 5 4 5 5 4 6 5 4 4 91 5 4 3 5 4 5 45,0,0,0,0,0,0
7,11 5 192 5 33 33 192 125 125 125 125 125 125 54 45 5 3 6 197 197 197 174 174 174 195 3 6 195 3 6 91 195 3 5 45 91 6 5 6 6 6 6 195 5 5 6 6 5 6 201 45 5 197 197 192 3 3 3 3 3 3 3 3 3 6 91 195 5 195 5 91 195 3 5 195 91 5 5 195 195 3 6 6 195 6 91 6 5 54 3 3 192 3 3 192 3 3 91 6 91 45 195 195 195 5 195 197 195 6 5 192 6 6 6 6 3 5 6 6 6 6 195 5 6 91 6 5 5 5 5 6 195 195 3 45 6 91 195 5 5 5 6 191 6 195 5 6 5 6 195 195 195 195 195 5 197 197 192 4 140 4 6 91 5 3 5 197 197 192 91 5 4 3 5 197 4 3 5 4 45 5 6 5 197 197 192 4 4 4 140 4 5 5 5 197 6 5 197 197 192 4 4 5 5 5 5 197 197 192 4 4 140 3 6 45 45 45 45 45 45 45 192 45 45 5 197 197 192 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 140 4 6 91 5 197 197 197 140 197 192 140 3 3 3 6 91 5 197 197 192 4 4 4 4 140 4 6 91 5 197 197 197 140 197 192 140 3 3 5 197 197 192 4 4 4 4 140 4 6 91 3 5 197 197 192 4 4 6 5 197 197 192 4 4 4 4 4 4 4 4 4 140 4 6 91 5 197 197 197 140 197 192 140 3 5 197 197 192 4 4 140 4 6 91 5 140 5 6 5 197 197 192 4 4 4 4 3 5 197 197 4 3 5 197 4 5 91 5 197 197 192 4 4 140 4 5 197 197 192 4 4 4 4 4 4 4 4 140 4 6 91 5 197 5 197 197 192 4 5 6 5 197 197 192 4 4 4 4 4 4 140 4 6 91 5 197 197 4 3 5 197 197 192 4 4 140 4 6 3 5 5 197 197 192 4 4 4 4 4 4 140 4 6 91 5 197 197 197 140 197 192 140 3 3 3 6 91 5 197 197 192 4 4 4 4 140 4 6 91 5 197 197 197 140 197 192 140 3 3 3 6 91 5 197 197 192 4 4 140 4 6 91 5 197 197 197 140 197 192 140 3 3 3 6 91 5 6 5 197 197 192 4 4 4 4 4 4 4 4 4 4 4 4 140 4 6 91 5 197 197 197 140 197 192 140 3 3 6 91 5 197 197 192 4 140 4 6 91 5 197 197 197 140 197 192 140 3 5 197 197 192 4 4 4 4 140 4 6 91 5 197 197 6 5 197 197 192 4 140 140 5 197 5 197 197 5 5 197 197 192 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 140 4 6 91 5 197 197 197 140 197 192 140 3 3 6 91 5 197 197 192 4 140 4 6 91 5 197 197 197 140 197 192 140 3 3 3 6 91 5 197 197 192 4 4 4 4 140 4 6 91 5 197 197 197 140 197 192 140 3 3 91 5 197 197 192 4 4 4 4 4 4 4 140 4 6 91 5 197 197 197 140 197 192 140 3 3 3 6 91 5 197 4 91 5 197 197 192 4 140 4 6 5 197 4 3 5 197 197 192 4 4 140 4 6 91 5 197 197 140 5 197 197 192 4 4 4 6 5 197 140 6 5 197 197 5 197 197 192 4 4 4 4 4 140 4 6 91 5 197 197 197 140 197 192 140 5 197 197 192 4 91 45 45 45,0,0,0,0,0,0
8,6 6 195 5 6 91 3 6 5 6 3 6 6 6 6 6 195 5 6 6 5 6 6 201 199 3 6 91 196 196 6 195 6 91 197 195 6 5 197 197 192 3 3 3 3 3 6 45 5 197 197 192 3 3 3 3 3 3 3 3 3 3 6 91 195 195 195 195 5 195 195 3 6 91 195 3 195 195 195 195 195 195 6 195 197 6 91 6 3 6 6 6 3 3 6 91 195 5 197 54 197 192 140 3 140 3 192 3 6 91 195 5 5 5 197 5 197 192 3 197 3 3 6 91 6 195 5 5 5 197 5 197 192 3 197 3 6 91 6 195 5 5 5 197 5 197 192 3 197 3 3 6 91 6 195 5 220 220 6 195 195 195 195 195 195 196 5 220 220 6 195 195 195 5 197 197 192 3 6 91 195 195 195 195 195 5 197 197 192 3 6 91 195 195 195 195 195 5 197 197 192 3 6 91 195 195 195 195 195 5 197 197 192 3 6 91 195 195 195 195 195 5 197 197 192 3 6 91 195 195 195 195 195 5 197 197 192 3 6 91 195 195 195 195 195 195 195 5 197 197 192 3 6 91 195 195 195 195 195 195 195 195 195 195 195 195 195 195 195 5 197 197 192 3 6 91 195 195 195 195 196 5 220 220 6 195 195 195 5 197 197 192 3 6 91 195 195 195 195 195 5 197 197 192 3 6 91 195 195 195 195 195 195 196 5 220 192 192 45 5 197 197 192 4 4 4 4 4 4 4 4 4 4 4 4 4 4 140 4 6 91 45 45 45 91 195 195 195 5 5 197 197 197 140 197 192 140 3 3 3 5 197 197 192 4 4 140 4 195 5 5 197 197 192 4 4 140 4 6 91 195 5 5 197 197 192 4 4 4 140 4 91 197 5 197 197 192 4 4 4 4 4 140 4 6 91 195 195 5 197 197 192 4 4 4 140 4 6 91 5 5 197 197 192 4 4 4 220 192 6 5 197 197 192 4 4 4 4 4 4 140 4 6 91 195 3 5 197 197 192 4 4 195 3 5 197 197 192 4 4 3 195 3 6 195 3 6 91 192 3 195 3 6 5 3 195 3 6 5 3 6 3 6 3 6 3 6 91 197 3 195 3 195 195 5 195 3 6 195 3 195 196 3 195 195 3 195 5 3 6 91 195 195 195 195 195 5 197 197 192 3 6 91 195 195 195 195 196 5 220 220 6 195 195 195 5 197 197 192 3 6 91 195 195 195 195 195 5 197 197 192 3 6 91 195 195 195 195 195 5 197 197 192 3 6 91 195 195 195 195 195 5 197 197 192 3 6 91 195 195 195 195 195 5 197 197 192 3 6 91 195 195 195 195 195 5 197 197 192 3 6 91 195 195 195 195 195 5 197 197 192 3 6 91 195 195 195 195 195 5 197 197 192 3 6 91 195 195 195 195 195 5 197 197 192 3 6 91 195 195 195 195 195 5 197 197 192 3 6 91 195 195 195 195 195 5 197 197 192 3 6 91 195 195 195 195 195 5 197 197 192 3 6 91 195 195 195 195 196 5 220 220 6 195 195 195 5 197 197 192 3 6 91 195 195 195 195 195 195 196 5 220 220 6 195 195 195 5 197 197 192 3 6 91 195 195 195 195 195 195 195 195 195 195 195,0,0,0,0,0,0
9,174 6 6 5 45 220 221 221 221 221 221 221 221 221 221 221 221 221 221 221 221 221 221 221 221 221 221 221 220 45 6 5 63 6 5 63 6 63 6 11 45 33 192 33 5 197 192 6 33 5 3 197 192 192 192 6 192 243 125 125 125 91 45 45 5 197 192 192 6 96 97 11 45 33 192 33 5 197 192 6 33 5 3 197 192 192 192 6 192 243 125 125 125 91 45 45 5 197 192 192 6 289 11 45 33 192 33 5 197 192 6 33 5 3 197 192 192 192 6 33 5 3 197 192 192 6 33 5 3 197 192 192 192 6 33 5 3 197 192 125 192 6 33 5 3 197 192 192 192 6 33 5 3 197 192 192 6 33 5 3 197 192 192 6 33 5 3 197 192 192 192 192 6 192 243 125 125 125 125 125 125 125 125 125 125 91 258 311 240 240 174 174 175 191 122 54 45 45 192 5 197 192 3 6 91 197 197 197 197 85 85 195 195 195 195 195 195 195 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 174 195 195 195 5 5 5 197 5 197 192 3 197 45 3 3 3 6 91 195 5 5 5 6 91 192 195 5 6 3 6 6 6 6 91 6 6 6 6 195 5 5 6 6 201 3 6 195 5 5 197 197 192 3 3 3 45 5 197 197 192 3 3 3 3 3 3 3 3 3 3 6 91 195 195 195 195 5 221 220 220 6 5 220 195 195 3 6 5 195 3 195 91 6 91 6 195 6 195 6 6 195 3 192 3 6 91 125 125 125 125 240 91 6 195 5 5 5 6 6 195 5 5 5 5 195 5 6 6 195 5 6 3 6 5 5 5 5 195 6 6 195 195 195 3 6 91 195 195 6 191 192 6 42 42 221 221 120 3 163 3 3 6 195 195 5 141 3 3 3 3 3 6 5 3 3 120 6 3 195 195 195 195 195 195 195 195 192 197 120 3 7 91 195 195 195 195 195 195 195 195 195 3 195 331 120 6 221 197 192 3 7 91 3 3 195 3 3 3 3 3 3 78 3 3 3 3 78 3 3 3 3 3 3 78 3 3 3 3 3 3 3 3 3 78 3 3 3 3 3 3 78 3 3 3 3 78 3 3 3 3 78 3 3 3 3 3 3 3 3 78 3 78 3 3 3 3 3 3 3 78 3 3 3 3 3 3 3 3 3 78 3 3 3 3 3 3 3 3 78 3 3 6 331 120 195 5 192 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 195 5 221 197 3 3 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 6 195 195 91 91 192 45 195 5 221 197 3 3 6 45 45 45 45 45 45 4 91 91 91 174,0,0,0,0,0,0
